cityname,distance_0,duration_0,distance_2,duration_2
阿拉尔市,3938239,171748,3745032,208491
开封市,835623,33610,792748,50187
阜阳市,622698,25466,614640,28128
黄南藏族自治州,2286318,100549,2209451,126039
凉山彝族自治州,2344387,104858,2238981,121936
宜春市,785428,35462,766410,42747
朝阳市,1561861,66230,1463801,78665
银川市,1896534,80442,1783802,117483
天门市,876319,37883,867931,39684
双鸭山市,2713004,125642,2622588,140074
荆门市,989444,42352,973565,44137
鄂州市,778696,33272,721535,45739
潮州市,1222843,54872,1191101,67951
阿里地区,5246420,258160,5124706,272578
池州市,435906,19350,400307,29832
桂林市,1529665,65241,1455952,80225
舟山市,322040,17790,295583,21534
鞍山市,1632071,68745,1564647,80705
萍乡市,957454,41752,943056,51565
安顺市,1898372,82410,1821175,103532
吉林市,2080543,87786,2023548,96206
吴忠市,1923513,81182,1784654,122101
锡林郭勒盟,1776239,75508,1655817,92449
黔东南苗族侗族,1671142,72793,1624231,99377
普洱市,2719164,122367,2637229,142590
大连市,1768251,74463,1686366,91160
上海市,66196,3974,55428,4785
临沂市,540791,24048,535300,26463
定西市,1830795,77771,1791930,90715
天津市,1041860,45300,1024245,49495
上饶市,516314,25057,502202,31578
岳阳市,980864,42223,917433,63322
商丘市,697612,29135,655428,43487
漯河市,763766,31242,750690,34390
五指山市,2233601,104601,2152910,132086
黄冈市,708191,31076,646047,43141
日照市,544000,23781,532342,30812
铜川市,1372287,55772,1320226,78797
北海市,1988854,83872,1908884,115193
晋中市,1323062,55411,1217920,88021
福州市,863148,39238,747571,47189
陵水黎族自治县,2233601,104597,2152910,132086
阳泉市,1213757,51907,1156110,59338
徐州市,472255,20157,459628,26012
柳州市,1668014,71392,1597353,84141
泰州市,192749,8742,182058,12753
玉树藏族自治州,2959428,134917,2881908,161443
衡阳市,1195839,51731,1130167,62550
安阳市,1011260,41113,919892,63606
喀什地区,5121645,212913,4895609,253175
临夏回族自治州,2011050,84061,1951855,104740
丹东市,1840828,77375,1772808,92421
白银市,2023455,87074,1912101,123408
潍坊市,686963,30596,669334,39712
神农架林区,876319,37835,867931,39688
赣州市,922896,41265,903530,51362
黔西南布依族苗族,2108482,92803,2035504,112999
图木舒克市,3938239,171793,3745032,208464
石家庄市,1110109,46271,1044206,54651
信阳市,731307,31118,721680,34125
石河子市,3938239,171795,3745032,208464
汕尾市,1365137,59984,1325602,74116
塔城地区,4484636,193425,4267704,232058
嘉兴市,106393,6957,91309,8904
酒泉市,2808289,117760,2698857,172503
海北藏族自治州,2260708,100006,2186738,126699
万宁市,2233601,104574,2152910,132057
通辽市,1861712,78213,1764816,98993
衡水市,1013986,43093,953034,49868
新乡市,944422,37461,860895,58751
宁德市,634353,33155,609939,40137
青岛市,696292,31204,685623,38718
清远市,1418066,61030,1345714,80715
牡丹江市,2744387,121990,2577510,130499
盐城市,341481,15488,340976,15773
三亚市,2307315,108111,2235655,139748
七台河市,2654148,120914,2555643,135142
吉安市,917530,40119,872130,48428
白山市,2114247,94616,2002589,106211
常州市,185802,8724,164390,12311
张掖市,2461533,105391,2352101,158633
厦门市,1060650,47740,990208,60252
大同市,1451279,62048,1367985,82755
十堰市,1044574,44296,1019224,61123
江门市,1513944,66514,1465700,86669
果洛藏族自治州,2584548,119669,2400105,135183
锦州市,1477289,62790,1420018,70476
咸宁市,850847,36374,793686,48931
辽源市,1903163,80254,1838960,96288
白沙黎族自治县,2233601,104619,2152910,132087
广安市,1640331,71294,1615635,75861
荆州市,1050617,45856,1041982,49199
包头市,1814511,78662,1698834,104884
鄂尔多斯市,1761548,76422,1613596,121901
来宾市,1728020,73392,1661857,86464
佳木斯市,2617855,119627,2535302,133573
威海市,881560,36689,865318,46956
保亭黎族苗族自治县,2233601,104619,2152910,132087
梧州市,1687759,72609,1618854,95510
晋城市,1027932,42564,978876,60814
鹤岗市,2665741,122188,2583369,136336
防城港市,2014186,85510,1943279,101042
惠州市,1340651,60638,1304510,76153
焦作市,973055,39495,923999,57969
张家界市,1290402,54661,1232107,70934
河池市,1815456,77351,1749298,90396
鸡西市,2734782,126011,2637656,140263
兴安盟,2156837,94640,2030554,121372
淮安市,352375,15190,327856,20298
乌兰察布市,1519636,66493,1482547,91821
乌鲁木齐市,3948287,170114,3744056,208849
西安市,1334580,53033,1306229,61595
平顶山市,824711,34313,809282,36819
石嘴山市,1965453,82645,1824072,138035
太原市,1370173,58735,1274763,94429
阜新市,1603749,68241,1540134,78542
丽江市,2593977,114974,2497537,136908
衢州市,404142,19361,391063,22524
肇庆市,1463546,62996,1407791,86339
广元市,1709476,73524,1661732,100092
杭州市,191808,9911,175268,12403
钦州市,1962725,83118,1896265,96784
宁波市,242037,12520,218967,16258
绍兴市,205101,11069,186323,14082
文昌市,2233601,104633,2152910,132120
湘西土家族苗族自治州,1403497,59644,1331572,78508
沈阳市,1687474,71555,1629789,79699
四平市,1875279,79262,1805232,101175
金华市,365192,18753,340354,24079
平凉市,1642339,68428,1573669,97585
镇江市,200216,8958,191192,11608
黄石市,762503,32689,703013,44845
巴音郭楞蒙古自治州,4129593,179136,3916642,215628
巴中市,1650763,72210,1638769,74313
宣城市,256127,14592,248536,17251
吕梁市,1406761,60173,1301084,92593
甘孜藏族自治州,2175238,95220,2142198,101711
聊城市,863574,36242,821815,53708
蚌埠市,434335,19074,417177,21345
南京市,252807,10860,246279,12872
湛江市,1908407,79997,1831723,109973
梅州市,1159015,50628,1132074,64761
廊坊市,1116969,48568,1094481,55406
郴州市,1212276,54766,1150378,66386
咸阳市,1359052,54021,1325503,65224
商洛市,1209140,47575,1182929,54917
鹤壁市,971821,39039,889391,62181
和田地区,5074264,217050,4453553,235724
绵阳市,1875028,81488,1827627,108952
赤峰市,1520937,64945,1465513,73129
东莞市,1440092,62955,1366469,83168
温州市,468957,23343,455210,25220
韶关市,1268545,54031,1196013,73788
马鞍山市,276863,12683,265146,14964
邢台市,1020476,42926,973848,68247
南充市,1694332,73377,1669050,76982
雅安市,2048404,88801,2015099,95344
成都市,1996179,85633,1953606,95594
忻州市,1372130,58544,1284235,66814
周口市,703114,29019,692628,31039
黑河市,2933794,130380,2777264,161090
巴彦淖尔市,2062511,88973,1907438,128970
洛阳市,977064,39804,960315,52095
达州市,1556624,68153,1530524,70143
辽阳市,1677596,70945,1612058,81396
汉中市,1555232,65127,1500410,91430
哈尔滨市,2217853,93916,2141181,107109
昌江黎族自治县,2233601,104624,2152910,132137
葫芦岛市,1431818,60413,1371924,68717
沧州市,958576,40863,937553,45648
佛山市,1457683,64320,1410440,83001
茂名市,1772706,75207,1700243,100641
宜昌市,1048281,44832,1042006,46656
甘南藏族自治州,2102864,89143,2009943,106227
益阳市,1155683,49481,1048389,67088
湘潭市,1065931,46568,1039822,56996
芜湖市,321542,14539,281751,24707
承德市,1289908,58471,1238486,66900
乌海市,2051511,86148,1850313,133154
阿坝藏族羌族自治州,2217483,98491,2146338,134939
克孜勒苏柯尔克孜自治,5182138,215643,4914875,253842
宿迁市,454005,18977,440687,24153
延安市,1499697,64072,1385565,98847
济南市,803560,33978,773414,37017
固原市,1789852,77488,1709638,106646
珠海市,1541975,67419,1486229,89898
驻马店市,755117,29941,744908,33131
保定市,1143403,48348,1081447,61653
伊犁哈萨克自治州,4620000,197539,4413936,235171
资阳市,1872015,81410,1837697,87795
玉溪市,2398955,106828,2317020,127398
滁州市,307313,13681,294470,16437
大庆市,2267397,97908,2198083,119647
株洲市,996902,43949,978557,51181
长治市,1117416,46969,1028875,74415
云浮市,1559475,67043,1503792,89784
克拉玛依市,4248128,185146,4044042,221779
伊春市,2455713,117568,2391058,138800
丽水市,426291,20818,399519,29515
扬州市,231174,10911,221748,13744
武汉市,777547,34358,771237,36169
澄迈县,2233601,104617,2152910,132141
连云港市,461372,20346,460867,20622
北京市,1165050,50959,1141706,58294
武威市,2228920,95027,2116616,146477
泸州市,1790660,81235,1784385,83388
泰安市,677120,29244,648513,34124
西宁市,2173552,95339,2099285,122360
运城市,1157250,49194,1124462,68541
铁岭市,1771090,75140,1698512,92809
宿州市,519135,21818,502802,28950
济宁市,714219,30478,667448,39192
莆田市,961770,42760,840607,51115
九江市,653259,28044,603998,41816
鹰潭市,594940,27605,579700,33083
广州市,1432025,62717,1387989,79894
亳州市,646836,26667,605058,32595
德州市,875601,37134,821646,42735
朔州市,1505374,63317,1407431,81793
宝鸡市,1470972,59109,1428276,83231
潜江市,876319,37853,867931,39644
金昌市,2325714,99075,2210040,150975
汕头市,1278093,56903,1219477,70899
呼伦贝尔市,2804471,128000,2676658,151559
南宁市,1895652,80624,1829489,94049
昌吉回族自治州,3983781,172509,3772207,210191
琼海市,2233601,104557,2152910,132081
贵阳市,1830660,79615,1757752,100843
嘉峪关市,2687870,114071,2578438,168032
南通市,81220,5711,80715,6019
邯郸市,1043472,43950,975403,69074
南阳市,922789,36554,895362,46637
保山市,2808714,125678,2724746,145768
三明市,826716,37480,802643,45779
齐齐哈尔市,2412327,108922,2296730,133503
许昌市,809793,32679,796055,39592
秦皇岛市,1290890,55248,1227460,64206
河源市,1260944,55990,1223143,72390
崇左市,2024931,85416,1950375,99372
庆阳市,1594635,65745,1529715,93000
天水市,1668500,69603,1632603,80414
阿克苏地区,4658496,197295,4442700,234427
无锡市,152892,7590,133952,10965
定安县,2233601,104557,2152910,132081
儋州市,2141208,101264,2059893,129288
营口市,1616737,69165,1547255,83079
盘锦市,1555623,66078,1496782,75164
昆明市,2320921,104116,2243982,124017
呼和浩特市,1645124,71568,1562013,91385
揭阳市,1315126,56631,1260507,75514
东方市,2233601,104567,2152910,132081
兰州市,1956500,83947,1885681,111615
中山市,1506551,66058,1450571,88525
淮北市,559253,23332,543003,31174
贵港市,1818891,77757,1688413,100088
通化市,1956002,87209,1890888,98243
曲靖市,2181309,97371,2106517,117316
松原市,2095307,90520,2025791,112734
琼中黎族苗族自治县,2233601,104563,2152910,132082
贺州市,1568264,65743,1453779,88546
乐山市,2000218,86691,1936324,90920
绥化市,2452164,111173,2378328,134425
濮阳市,907611,37642,832983,59313
乐东黎族自治县,2233601,104563,2152910,132082
海口市,2038240,96540,1973076,122830
昭通市,2174760,93841,2100547,108060
三门峡市,1038196,42028,1018048,52144
榆林市,1625812,71599,1502432,106260
百色市,2061818,87408,1974805,103083
长春市,1974554,83282,1915862,91801
铜陵市,387748,18035,355532,26591
孝感市,845012,36545,821786,46743
烟台市,786516,33549,746856,47569
常德市,1151721,48936,1090620,65878
六安市,544515,24500,538121,26418
淮南市,463397,19619,444865,27491
海南藏族自治州,2259668,100425,2184384,128069
长沙市,1069333,45694,1005573,74276
