cityname,distance_0,duration_0,distance_2,duration_2
本溪市,1730690,73473,1667829,89349
抚州市,698395,32351,686230,35725
景德镇市,544678,25456,533552,26719
黔南布依族苗族,1742281,75818,1672673,101446
自贡市,1905945,82403,1829729,87001
西双版纳,2840880,127951,2758945,148033
龙岩市,972644,43588,948001,53255
白城市,2142361,92094,2067737,114665
内江市,1867933,80716,1793813,88126
淄博市,761148,32887,752383,38243
泉州市,1042638,45964,927702,53467
博尔塔拉蒙古自治州,4447431,192164,4233895,230585
郑州市,891811,35686,854124,54923
临沧市,2838721,132281,2754106,152855
张家口市,1365003,59938,1335779,69095
娄底市,1229760,52363,1187728,84042
阿拉善盟,2407756,102289,2295792,154023
五家渠市,3938239,171757,3745032,208505
唐山市,1148172,49725,1097626,57082
仙桃市,876319,37872,867931,39684
遵义市,1783238,76468,1699327,102730
屯昌县,2233601,104648,2152910,132033
合肥市,415457,19433,401331,23478
渭南市,1272011,51793,1239800,71470
安庆市,487934,21149,456375,29623
临汾市,1300019,53414,1192721,89736
湖州市,130188,6945,122116,9820
滨州市,829566,35288,806706,37913
拉萨市,4081679,206541,3862093,216869
玉林市,1773792,75902,1696113,102933
深圳市,1469589,63960,1402831,82955
恩施土家族苗族自治州,1350653,61325,1344378,63291
阿勒泰地区,4372754,187554,4084110,223799
南昌市,711838,31677,692060,35072
台州市,383444,20178,369874,22678
黄山市,388291,18618,380284,25980
抚顺市,1741849,73791,1677033,83241
安康市,1333554,55234,1286811,78669
陇南市,1840884,78970,1754439,108699
邵阳市,1239743,53772,1216031,84042
眉山市,1956630,84697,1923590,91288
延边朝鲜族自治州,2387691,101300,2300589,126832
枣庄市,590882,25884,566122,31536
重庆市,1635744,74634,1629303,76834
德阳市,1914392,82986,1872594,110494
怀化市,1421923,60520,1360422,86507
永州市,1327320,56575,1257813,70061
菏泽市,798871,33209,746175,48856
遂宁市,1750876,75810,1726204,80568
南平市,745909,33963,722380,42022
攀枝花市,2539589,112670,2440639,133689
中卫市,1946487,82215,1848899,127645
临高县,2233601,104635,2152910,132084
东营市,785744,34106,778217,34665
随州市,890115,37820,836555,42884
阳江市,1651245,72376,1603335,90727
新余市,849806,37952,837423,42106
漳州市,1071863,48136,1028042,57942
