cityname,distance_0,duration_0,distance_2,duration_2
博尔塔拉蒙古自治州,4328229,185123,4202564,217481
凉山彝族自治州,2324023,99059,2258460,115739
石家庄市,1100279,47660,1049637,52278
长沙市,1025492,44319,965222,58171
呼和浩特市,1636230,73131,1535453,88888
潜江市,911857,39128,908894,40533
琼中黎族苗族自治县,2119861,91564,2069254,125951
屯昌县,2081865,90710,2028681,124599
黔东南苗族侗族,1670690,77960,1626826,100087
呼伦贝尔市,2767125,127355,2605694,155993
桂林市,1502718,65663,1412836,77655
长春市,2085872,88907,1988672,100167
洛阳市,972833,43771,948628,53079
镇江市,154133,7143,146801,9847
自贡市,1883327,80562,1807956,85596
乌鲁木齐市,3826612,165910,3698367,200364
大兴安岭地区,3201580,141916,2954663,184198
图木舒克市,4778520,200773,4598154,249223
北海市,1936550,81667,1864039,110137
佛山市,1454560,63298,1411642,80922
舟山市,324649,20666,310826,22352
普洱市,2706155,123979,2646842,141520
鹰潭市,590141,27566,575427,33555
山南地区,4331397,223322,3967873,236050
阿勒泰地区,4258417,188571,4030760,227803
永州市,1375453,62484,1311969,74382
大庆市,2304539,101846,2189065,132568
兰州市,1972078,87473,1908595,109306
咸宁市,823735,35465,788111,45517
清远市,1391909,63101,1309085,80441
临沂市,544011,23440,539302,24910
三明市,833828,38762,813384,47776
拉萨市,4133223,211575,3857157,220140
合肥市,385317,16513,377008,18952
黄南藏族自治州,2242444,101360,2185520,120947
邯郸市,960449,40013,907700,65661
杭州市,276221,15204,244687,15739
黔西南布依族苗族,2020630,89134,1963484,104788
聊城市,846682,34956,807357,50755
安顺市,1894549,84710,1834049,102026
常州市,127485,6065,124484,7368
贵阳市,1776387,76082,1699657,87879
海南藏族自治州,2336811,103625,2264306,127762
攀枝花市,2499477,106640,2431195,125071
渭南市,1294464,56243,1223747,73199
临汾市,1220532,53240,1142760,70821
无锡市,87056,5310,70984,7178
和田地区,4396625,208244,4328277,227808
赤峰市,1678680,77377,1595229,89912
德阳市,1880892,79450,1831213,85475
亳州市,533449,22217,518068,26737
十堰市,1244687,66850,1198513,87193
白沙黎族自治县,2197756,98622,2110244,132417
红河州,2451482,105906,2343447,128893
神农架林区,1217175,55657,1214133,57114
淮南市,474544,19831,452471,29800
阿拉尔市,4602483,195383,4385435,235385
淮安市,342362,14515,320221,18799
昌吉回族自治州,3764706,161994,3646127,196398
榆林市,1574713,72526,1465571,99493
菏泽市,745149,32061,697091,45322
佳木斯市,2958781,127225,2691822,149074
鸡西市,2738799,115723,2642051,145487
曲靖市,2113566,93476,2063260,106411
临沧市,2816309,131920,2752641,148928
黑河市,2722959,129579,2624248,157483
四平市,1952160,84302,1843624,110759
郑州市,871998,35979,840424,49848
嘉兴市,110275,6653,106241,7079
商洛市,1223771,51282,1177193,56077
澄迈县,2046105,89436,1979472,121084
克孜勒苏柯尔克孜自治,4994260,207284,4857424,239423
鹤壁市,954969,39431,855533,58537
济宁市,675448,29427,648722,35661
酒泉市,2945607,122264,2795035,170766
伊犁哈萨克自治州,4606225,195554,4294532,229402
龙岩市,987319,46808,964740,55744
娄底市,1189119,51290,1145610,70164
荆州市,969868,41775,949718,46674
抚州市,774931,35691,753666,45227
延边朝鲜族自治州,2363904,98490,2244502,123518
武汉市,739614,32046,736651,33514
七台河市,2678559,114074,2548928,141088
许昌市,791242,31784,780061,39112
遵义市,1828596,81312,1754182,90968
南充市,1649586,71832,1631748,74853
保亭黎族苗族自治县,2224055,97796,2164846,133398
宿迁市,389210,17147,382801,18486
遂宁市,1722734,73498,1704057,80207
吐鲁番地区,3637863,159808,3521812,197162
株洲市,1053946,46361,1006243,62904
宿州市,498902,21637,478009,27799
宝鸡市,1480107,62650,1441390,73269
大同市,1388324,62065,1313338,76890
云浮市,1580929,68086,1528961,88389
梧州市,1699107,75155,1572890,93347
安庆市,515674,21023,477870,27879
玉溪市,2422955,105190,2363692,121542
白山市,2170163,93092,2030839,108540
毕节地区,1951394,82974,1892786,102088
吉安市,906988,38834,872377,49251
益阳市,1156119,49710,1074633,61828
中卫市,1914391,80795,1820791,111024
新余市,833969,36821,825861,41837
巴音郭楞蒙古自治州,3655775,168802,3587333,192264
承德市,1421422,63112,1333187,74764
太原市,1352010,63593,1266944,84930
宜宾市,1876366,85313,1861439,86898
宣城市,261901,11710,241421,17434
绥化市,2410060,113239,2303276,140515
大理市,2643923,118560,2582659,135105
黄冈市,667456,29273,628858,37383
辽阳市,1698033,73822,1610982,84673
万宁市,2154999,92988,2106253,126250
成都市,1907998,80707,1874496,89531
三门峡市,1096305,47036,1061449,60112
西安市,1329929,55466,1287815,63977
六盘水市大湾镇,2102545,95080,2019158,113362
内江市,1841068,79636,1783424,89037
岳阳市,947154,40368,906226,52620
周口市,676031,27600,656769,29680
营口市,1684667,73709,1576467,91760
本溪市,1839798,80703,1741200,94521
东莞市,1419576,61558,1346170,81921
鹤岗市,2911682,125740,2637621,144155
南平市,626638,29375,613037,35190
临高县,2069997,90136,2003607,121516
贵港市,1783082,75109,1678341,96244
朝阳市,1577224,69384,1424811,83643
开封市,779628,32570,742073,50073
乐东黎族自治县,2234656,96188,2184049,132129
伊春市,2600722,122046,2512385,134430
扬州市,219559,10085,214905,12503
崇左市,2030974,83750,1959097,96233
铜陵市,337989,14547,324798,20259
铜仁地区,1566847,69424,1482331,84369
滁州市,315852,14828,310824,16212
恩施土家族苗族自治州,1328243,62552,1285098,63489
林芝地区,3385235,200671,3356685,206124
威海市,884000,37539,854562,51880
甘南藏族自治州,2198138,97810,2111299,116512
丽水市,464836,23218,447815,29727
鞍山市,1679925,72957,1587370,89146
湛江市,1877608,79073,1803880,105913
盘锦市,1585105,69242,1481391,83834
兴安盟,2202822,95733,2034698,123374
漯河市,745351,31483,737099,34986
上饶市,520525,24516,509979,28692
上海市,105886,7538,96841,9140
嘉峪关市,2660132,111244,2556936,159203
眉山市,1934580,81760,1909053,87384
巢湖市,355954,16094,330143,17862
石河子市,3974584,172558,3850385,205412
泰安市,723319,30975,683833,42063
广元市,1710629,76324,1664584,100310
资阳市,1811524,77657,1783343,83604
庆阳市,1617904,70918,1539485,97266
防城港市,2040993,87383,1949904,100767
东方市,2218017,96278,2151627,128346
潮州市,1182926,56791,1152737,68106
松原市,2072507,89653,1974652,119039
齐齐哈尔市,2577449,109121,2340803,142705
阿里地区,4735295,246648,4647621,261247
长治市,1117897,48933,1037483,73206
台州市,338990,16656,338990,16660
白城市,2131707,93924,2033671,111971
三亚市,2282025,98890,2223920,137274
定安县,2067964,89930,2013916,123538
厦门市,1018881,48111,954039,55139
那曲地区,4085828,209202,4016640,222771
大连市,1832538,78108,1698423,101484
锡林郭勒盟,1837284,83913,1714366,105146
中山市,1483272,65271,1430702,86757
白银市,1992052,84710,1837548,106134
鄂尔多斯市,1780430,81733,1655319,111476
汉中市,1507148,65038,1462711,87919
驻马店市,719642,29233,704400,30931
汕尾市,1320003,60441,1280105,74083
南宁市,1890249,81022,1801932,97201
金华市,304272,15954,293857,20632
吉林市,2158023,93077,2053595,108043
黄石市,768219,33482,714559,43670
海西蒙古族藏族自治州直辖,2927932,130277,2850806,155973
武威市,2199395,94578,2085778,139510
绵阳市,1827929,81751,1773406,105646
