cityname,distance_0,duration_0,distance_2,duration_2
随州市,868994,38667,797470,44610
鹤壁市,954969,37629,855661,61393
大庆市,2269620,97923,2177733,116093
宜宾市,1876367,86281,1860899,87594
池州市,443697,20675,423568,29678
阿里地区,4736824,249693,4646919,264618
莱芜市,682798,28862,671914,30642
合肥市,385318,17197,377009,19189
铜陵市,337988,15700,324664,20411
北京市,1207359,52401,1162521,57216
商洛市,1223771,48806,1177293,54202
吉安市,906988,38998,872370,49069
沧州市,963182,40148,943079,50999
淮北市,506440,21900,497156,29702
鄂尔多斯市,1787210,78017,1655776,114494
唐山市,1168523,49955,1102794,53061
巢湖市,355954,16859,331503,18064
巴音郭楞蒙古自治州,3657492,169364,3586819,192736
抚顺市,1836586,79590,1749947,84342
五家渠市,3848204,166394,3731482,207478
克孜勒苏柯尔克孜自治,4996001,206871,4857109,247621
六盘水市大湾镇,2111531,96836,1982693,118728
济南市,770094,32980,759418,35266
宁德市,628844,32889,612508,38887
广安市,1605703,69350,1581535,73064
周口市,676031,28157,656769,30311
三亚市,2290560,107721,2223550,137213
杭州市,276221,14906,244687,15144
昆明市,2258302,102113,2202499,117416
毕节地区,1951393,84256,1887829,115516
乌海市,1989570,82950,1793996,129225
乌兰察布市,1704073,75410,1623001,96794
阜新市,1654686,70101,1568617,77058
东方市,2213859,104991,2151507,129227
昌吉回族自治州,3766446,160588,3645097,207345
衡阳市,1184860,50822,1122063,62558
铁岭市,1818304,76700,1738146,85078
临沂市,544010,23428,539301,24546
屯昌县,2099439,99232,2031424,125763
包头市,1831318,82904,1702689,101988
南京市,218204,9597,206786,14493
常州市,127447,5911,124484,7004
通化市,1995708,89156,1893033,95315
万宁市,2171021,102056,2106133,127386
铜仁地区,1577726,69973,1479055,85979
巴彦淖尔市,2142509,93413,1973410,133504
黔西南布依族苗族,2031509,91214,1960265,114628
乐山市,2050198,92854,1968621,97494
黔南布依族苗族,1780961,79437,1725231,101127
阿勒泰地区,4260157,187994,4023733,236779
舟山市,330054,21166,314977,22868
